REGION,GEOG,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC
Central,Near North Side,89994.99999,7988.999999,37223.99999,15675,14851,8926.999999,4136,1193,34.92502262,63901.99999,5243.999999,7318.999999,11222,2308,62727.00002,60664.00002,2063,20961,1557,3873.999999,6951.999999,2243,31565,29305,8354.999999,5385,7273.999999,6984.999999,9534.999998,18314,99731.56764
Central,Near South Side,24343.00002,3327.000002,8047.000004,6011.000005,4500.000004,1792.000001,590.0000005,76.00000006,36.63892315,11561.00001,991,5979.000003,5007.000004,805.0000001,17062.00129,16743.00126,307.0000257,4151.000255,658.9999998,1318,2638.000002,752.0000003,6496.000006,8207.000006,2688.000001,1164,1458.000001,1613.000001,2837.000001,4182.000002,100719.856
West Side,Near West Side,62733.00001,11833,26644,12873,6857.000001,2981,1209,336.0000001,30.87222803,25940,5889.999998,17616,11658,1629,38745.00002,35679.00002,3034.000002,15836.00001,3186,4679,4540,1534,15259,13524,6920.000002,2696,3445.999999,3037.999998,4882.999998,7224.999996,83574.72018
Southwest Side,New City,39463.09697,12518.13654,9407.741659,7172.154382,5920.720714,2787.951901,1413.391776,242.9999999,30.98723544,4597.857253,24384.74476,9316.033359,801.5065941,362.9550036,18332.08569,15178.64678,3153.43891,11045.80742,6719.217222,11078.70287,3176.391777,1015.723041,1219.036462,574.1900699,4603.684211,3966.68421,1976.736842,1032.947368,615.736842,270.6315787,33227.28322
North Side,North Center,35704.99999,9150.999998,9093.999999,10025,4726.999999,1505,815.9999999,386.9999999,34.55326656,27682.99999,4075.000002,591,1777,1578.999999,22208.99998,21468.99998,723.999999,5042.999994,1373,1859,2728,691.0000001,10898,7655.999998,1153,1429,1638,1889,2820,5331,115756.1728
West Side,North Lawndale,33854.00001,10782,8284.000001,5939.000001,5278.000002,2150.000001,1007,414.0000002,30.42362003,1017,2990.000002,29585.00001,56.00000009,206.0000003,13244.00001,10928,2316.000001,11959,4863.000001,6196.000001,5185.000002,1154,1674,783.0000001,5343,2914,1268,853.9999999,611.9999999,203,26781.20617
Far North Side,North Park,18450.99999,4474.999997,3878.999998,3315.999998,3115.999998,1739.999999,1149,776.0000001,39.23881323,9683.999996,2973.999998,565.9999999,4547.999997,678.9999997,9030.999999,8405.999999,624.9999994,5827.000001,1641.999999,2311.999999,2109.999999,703.9999998,3659.999998,2162.999999,1610.999998,1442.999999,955,668.9999997,884.9999998,993.9999996,54827.95701
Far North Side,Norwood Park,37311.96762,7753.076424,6584.941711,7571.02202,8293.001295,3568.071244,2100.023316,1441.831606,43.71898828,29761.07124,5071.091967,281.0660621,1346.435233,852.3031097,19844.95569,19058.69644,786.2592521,10906.98485,2085.531088,7391.652849,5474.768135,2166.870466,7211.976685,3733.15544,2330.989843,2253.396164,2504.783296,1889.671558,3104.976298,2948.569979,80649.45088
South Side,Oakland,6850.000002,2345.000001,1253,1638,987.0000003,441.0000001,158,27.99999997,33.1517094,155,270,6284.000002,96.99999994,44.00000001,3437.999998,2768.999998,668.9999996,1524.999999,477.0000001,964.0000002,1068,225,668.0000003,608,1379.000001,742.0000002,419,208.0000001,158.0000002,190.0000001,28611.11111
Far North Side,O'Hare,12771.79774,2105.169491,3602.179661,2798.726553,2255.877966,965.9288137,737.838418,306.0768361,37.53981543,9593.117513,1077.361582,255.439548,1367.879096,478,7387.795234,6862.121277,525.6739566,3487.751492,1098.482486,2299.813559,2220.458757,771.821469,2580.707344,1160.284746,1564.917463,1468.753588,1338.373205,960.7966504,549.5155498,293.8289472,50990.30515
Northwest Side,Portage Park,64954.39044,15354.43941,13893.83721,14046.40269,13643.65973,4324.608322,2503.626682,1187.816401,38.09396348,31828.95103,26999.08812,913.6695227,3517.681761,1695,36409.88882,34069.15608,2301.732739,16354.63628,6529.510404,13031.60465,8580.020806,3540.700121,9018.916766,4772.571602,3852.893239,4573.316727,4243.284699,3462.583631,3375.049823,3102.295375,66309.30835
Far Southeast Side,Pullman,6816.000001,1286.000001,1556,1413,1511,596,322.9999999,131,41.87082405,675.0000003,301.9999998,5691.000001,5.000000005,143,3861.999987,3214.999988,646.9999983,1864.999993,617.9999999,1194,1469,465.0000001,751.0000002,427,985.0000001,825.0000002,471.0000001,378.0000001,313.0000001,95.00000005,42489.58334
Far Southeast Side,Riverdale,7261.999999,3146,1847,1119,784.9999999,255.9999998,65.99999993,43.00000001,23.01396648,130.9999999,188.9999999,6920,22.00000002,0,2849.000006,1899.000004,950.000002,1817.000004,615.9999998,995,1395,252.9999999,75,59.99999992,1666,623.0000003,113.0000001,43.00000004,95.00000006,20,13517.69912
Far North Side,Rogers Park,54872.00001,11616,16741,12252.00001,9206.000003,3099,1308,649.9999999,34.21590329,24110,11306.00001,14413,2985,2058.000001,32111,29945,2139,13894.99999,4906.000002,7464.000003,6712.000002,1793.000001,10010,7074.000001,7753.999998,6342,3867,2378,2240.999999,1700,40590.6822
Far Southeast Side,Roseland,41106.00001,10713,8014.000001,7145.000002,7957.000001,3797.000001,2617,863,39.11632101,489.9999997,533.0000002,39440.00001,148.9999999,493.9999999,18595.99995,14426.99996,4168.999989,14267.99995,4196,6943.000001,8506.000002,2429,3346.000001,2134,4819.999997,3796.999998,2215.999999,1390.999999,1384.999999,554.9999996,39303.54796
Far Southeast Side,South Chicago,29021,8726.000001,5752.000001,5493.000001,4812,2092,1666.000001,480.0000002,35.09938838,648.9999999,5921.000002,22194,110,147.0000001,13062.00001,10624.00001,2438.000003,9082.00001,3340.000001,6304.000001,4157.000001,1311,1841,855.0000003,4100.999999,2822,1652,955.0000002,744,217,32844.96754
Far Southeast Side,South Deering,14696.99997,4211.999993,2787.999994,2696.999996,2431.999996,1452.999997,831.9999977,282.9999995,37.01445087,688.9999984,4584.999992,9365.999982,1.000000001,55.99999999,6532.999996,5058.999996,1474,4991.999997,2001.999997,3194.999993,2414.999995,690.999999,762.9999986,603.9999988,2024.999998,1392.999998,808.9999989,425.9999995,375.9999994,176.9999997,35436.68121
West Side,South Lawndale,74943,23798,20142,15112,10241,3412,1740,498,29.95221971,3058,62345,9123.999999,112,303.9999999,28104.99999,25413.99999,2690.999998,28038,21074,12403,5191,1878,2776,731,6287.999999,6012,2900,1218,1152,376,33611.69102
South Side,South Shore,51543.00001,13305,10958,10118,10172,3951,2124.000001,915.0000004,37.08471531,1419,1215.000001,47967.00001,188,754.0000001,23876.08945,19716.9049,4159.184547,16735.82055,3540,8780.000002,10743,3117,4813.000001,3627,10653,5226,3103,1661.999999,1655,779,29889.62472
Central,The Loop,37647.00001,5217.000004,16344.00001,7199.000001,5322.000002,2179.000001,1123.000001,263.0000001,32.48113728,23448.00001,3106.000001,3363.000001,6558.000002,1172,25663.00031,24213.00029,1356.000016,9864.000131,399.9999998,1047,3161.000001,1037,11001,12056,2509.999998,2046.999998,2075.999998,2745.999998,4211.999997,6603.999995,107245.8653
Far North Side,Uptown,58424.00001,7967.000002,19259,13493,10476,3830.000001,2227,1172,36.94515181,31595,8847.000002,10235,5806.000001,1941,37091.99995,35114.99996,1936.999997,14610.99998,4675.000001,7276,6291.000001,2577,15877,9407.000001,8473.999999,6020,4236,3202,3836,3973.999999,51888.77755
Far Southwest Side,Washington Heights,27354,6202,5590,4890,5651.999999,2456,1844,720,41.66354264,268,163,26516,38.00000001,369.0000001,13165,10750,2394.999999,9555.999998,1833,5556.000001,5568.999999,1587,2650.999999,1708,2854.000001,1885,1716,1115,1294,620.9999997,50047.55434
South Side,Washington Park,11355,3937.000002,2848.000001,1853.000001,1716.000001,526.0000002,242.0000001,233.0000001,30.38156797,123,243,10403,20.99999999,565.0000002,4846,3892,954.0000001,3267.000001,1090,2225.000001,1850.000001,356.0000001,861.0000002,329.0000001,2152.999999,1209,614.9999999,224,300.9999999,36.00000002,27457.62712
Southwest Side,West Elsdon,19362.91849,6227.707754,4345.381711,3957.043739,2782.021869,1380.948311,421.8151095,248.0000001,31.67958831,2864.24851,15772.26442,291.1590462,414.0874757,21.15904576,9357.952876,8288.075541,1069.877334,5128.250198,3074.161034,4282.415508,2023.419484,820.7157058,1080.934394,363.7157059,861.2455358,1472.946429,1147.098215,549.0401786,862.4553574,304.2276788,55379.52371
Southwest Side,West Englewood,28236.99999,7591.999997,5117.999999,4968.999998,5214.999999,2975.999999,1758.999999,607.9999999,39.50287724,308,2189.999999,25327.99999,3.999999996,406.9999998,11624,8143.999998,3479.999999,10499,3995.999999,8156.999997,3872.999999,1147,1130,612.9999998,4393.999999,2576,1288,487.9999996,495.0000001,280,27759.78916
West Side,West Garfield Park,16950.0006,5794.008291,3399.847248,2983.179397,2890.226762,864.4310245,742.2368266,276.0710481,30.89478911,357.9999998,447.4594435,15887.54115,54.99999995,202.0000001,5909.571941,4849.956191,1059.61575,6301.917708,2740.458852,3578.155714,2358.05151,634.0852579,377.3126111,174.0284193,2705.668978,1223.235702,758.0831889,380.0294627,170.0207972,96.00866557,24590.55263
Southwest Side,West Lawn,32176,10518,6839.999999,7047.999999,4408.999999,2042,986.9999999,331.9999999,32.34087102,4424.999999,26608,829.9999993,224,88.99999993,15739.99998,13714.99998,2024.999998,8247.999991,5782.999999,7382.999999,3158.999999,944,1730,535.9999997,1740.000001,2776.000001,1937.000002,1002.000001,1275.000001,498.0000004,51081.67771
Far Southeast Side,West Pullman,27480.06008,7460.256039,5849.675373,4604.24167,5318.21293,2568.537557,1288.136512,390.9999998,36.71416039,184.9999995,1569.999999,25318.06008,18.99999985,387.9999996,13132.8821,10056.2197,3076.6624,8468.950109,2527.323317,5788.083603,5211.536249,1221.560418,1752.804702,1161.251469,2973.728781,2158.74354,1542.051659,916.8487077,904.3874533,459.1107007,41079.19301
Far North Side,West Ridge,77212.00002,21420.00001,16735.00001,14840,14012,5913.000001,2929.000001,1363,35.42141656,32200,14178.00001,10320,16987.00001,3527.000002,38311.00002,35352.00002,2959.000001,21402.00001,9135.000003,11390,7661.000002,2912.000001,12599,7539.000002,5685.000002,6672.000002,4739,2532,3384.999999,2588.999999,52038.56748
West Side,West Town,84255,13212,38188,19224,8688,2995,1480,468.0000003,31.98278667,52801,19108,5910,4043.999999,2392,60441.00751,58312.72594,2123.281572,12414.84285,4686.000001,6082.000002,7199,2378,28476,16951,5077.000001,4439.000001,5357,4563.000001,7086.000001,11072,96499.0138
South Side,Woodlawn,22925,7132.000001,5331,3834,4057,1601,699.0000001,270.9999999,31.42933619,1852,748.9999999,19012,847,465.0000002,9623.910549,7908.095097,1715.815453,8401.179445,1947,3087.999999,3694,1009,1911,1741,4433.000002,2005.000001,1048.000001,690.0000003,635.0000004,402.0000002,26415.17129
